서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 당일 사망자
2021.09.12.00,86462,658,607,2021.09.12.00,272982,1755,
2021.09.11.00,85804,659,607,2021.09.11.00,271227,1865,
2021.09.10.00,85145,670,603,2021.09.10.00,269362,1892,
2021.09.09.00,84475,667,599,2021.09.09.00,267470,2049,
2021.09.08.00,83808,671,597,2021.09.08.00,265423,2050,
2021.09.07.00,83138,482,595,2021.09.07.00,263374,1597,
2021.09.06.00,82657,464,593,2021.09.06.00,261778,1375,
2021.09.05.00,82193,508,592,2021.09.05.00,260403,1490,
2021.09.04.00,81685,566,590,2021.09.04.00,258913,1804,
2021.09.03.00,81119,542,588,2021.09.03.00,257110,1709,
2021.09.02.00,80577,559,587,2021.09.02.00,255401,1961,
2021.09.01.00,80019,665,584,2021.09.01.00,253445,2025,
2021.08.31.00,79354,456,583,2021.08.31.00,251421,1372,
2021.08.30.00,78899,444,582,2021.08.30.00,250051,1487,
2021.08.29.00,78455,517,581,2021.08.29.00,248568,1619,
2021.08.28.00,77940,569,581,2021.08.28.00,246951,1793,
2021.08.27.00,77371,557,579,2021.08.27.00,245158,1841,
2021.08.26.00,76814,570,578,2021.08.26.00,243317,1882,
2021.08.25.00,76245,677,575,2021.08.25.00,241439,2155,
2021.08.24.00,75570,438,574,2021.08.24.00,239287,1509,
2021.08.23.00,75136,388,573,2021.08.23.00,237782,1418,
2021.08.22.00,74749,499,571,2021.08.22.00,236366,1628,
2021.08.21.00,74251,526,567,2021.08.21.00,234739,1880,
2021.08.20.00,73725,556,566,2021.08.20.00,232859,2052,
2021.08.19.00,73169,575,564,2021.08.19.00,230808,2152,
2021.08.18.00,72594,510,561,2021.08.18.00,228657,1805,
2021.08.17.00,72086,366,560,2021.08.17.00,226854,1373,
2021.08.16.00,71720,364,557,2021.08.16.00,225481,1556,
2021.08.15.00,71358,488,554,2021.08.15.00,223928,1817,
2021.08.14.00,70870,515,550,2021.08.14.00,222111,1930,
2021.08.13.00,70355,524,549,2021.08.13.00,220182,1990,
2021.08.12.00,69831,526,546,2021.08.12.00,218192,1987,
2021.08.11.00,69306,661,546,2021.08.11.00,216206,2223,
2021.08.10.00,68646,360,545,2021.08.10.00,213987,1540,
